Instance,Income
111994,39889.20745879998
111995,10306.166307963998
111996,31541.706685199988
111997,118912.25544560002
111998,29482.389227800024
111999,93839.0404533
112000,108823.31633059999
112001,101683.98450350002
112002,37929.58789850002
112003,114706.87728930007
112004,11444.805916380003
112005,218728.74982889995
112006,27968.282366499992
112007,107244.0387008
112008,267094.88179599994
112009,78931.6817477
112010,41334.02727878
112011,27456.28142160001
112012,22151.638245779992
112013,14055.759174600002
112014,132165.90522050002
112015,49026.183787199974
112016,64117.02195220002
112017,82300.93143200001
112018,154061.11947039998
112019,52556.923971799995
112020,272801.2142999001
112021,27811.677770500006
112022,82196.02639729003
112023,79777.34928019997
112024,35664.31297919998
112025,93121.80854909998
112026,266362.78747239994
112027,61064.169268099984
112028,48588.741398300015
112029,45205.0518364
112030,203553.6096372
112031,238961.45100799997
112032,297502.69155800005
112033,98439.133962
112034,224608.23384700005
112035,98769.6323173
112036,134110.38210570003
112037,147012.81720750005
112038,204647.18630589996
112039,54950.73170220007
112040,81454.11735350004
112041,63414.6031806
112042,39862.15013290002
112043,61015.40329060001
112044,124943.13384769997
112045,15491.7742543037
112046,232516.20443699992
112047,31448.156775399977
112048,41779.365478299995
112049,92967.07616375003
112050,48176.382372700005
112051,71693.4894488
112052,134646.00880149996
112053,194943.32729559994
112054,126506.0903459
112055,27174.858081700004
112056,105868.18681020003
112057,20785.676300320003
112058,31038.14089227
112059,34557.99760219999
112060,351054.34910799994
112061,145810.8547572
112062,203281.38604729995
112063,68855.58758030002
112064,24838.28299541
112065,56818.759436199995
112066,7458.948222768001
112067,103394.40489849998
112068,68450.22581580002
112069,282316.89460600016
112070,243702.83994540005
112071,46347.77784459998
112072,76721.52216326
112073,139424.82136550004
112074,25898.384894900013
112075,23153.194778979985
112076,151414.39748060008
112077,1167643.3775300004
112078,8981.79709377
112079,186932.8463222
112080,82492.95445190002
112081,899424.8541579996
112082,72933.62713799998
112083,45084.865500650034
112084,16443.186502560002
112085,204404.6272233
112086,33828.1690298
112087,58470.317702700006
112088,131624.0223536
112089,53407.3359784
112090,176845.19345269995
112091,39153.47597545998
112092,29470.98526130002
112093,86642.00891189997
112094,34308.28429579999
112095,53467.29472370001
112096,124674.87207010001
112097,16837.817342599985
112098,33955.29311700001
112099,32695.680494000007
112100,308353.66128120007
112101,166714.715549
112102,26760.414588500003
112103,111691.8218179
112104,67252.81155439997
112105,58637.48279
112106,89341.36688050002
112107,126605.43216520002
112108,62658.53768459998
112109,50018.869577200014
112110,133114.51192940003
112111,83401.29982679998
112112,83484.33655789998
112113,146274.6331608
112114,74872.3463566
112115,18855.555769860006
112116,46738.45883540001
112117,115386.48619619997
112118,26813.466476800008
112119,35378.88424130001
112120,476848.0194810001
112121,137710.04029889998
112122,429633.34767
112123,196833.64916159995
112124,41050.23545699997
112125,195000.26782419998
112126,158530.47011779994
112127,19636.3831117
112128,40213.6516967
112129,102793.94166289996
112130,78420.25923013003
112131,19761.120819613996
112132,86918.49557010003
112133,253012.89140310016
112134,14194.69712173
112135,40584.9014421
112136,146779.67808710004
112137,14887.934479400008
112138,35337.189867099994
112139,65255.974446400025
112140,41890.13551189998
112141,279716.368519
112142,56290.00804089998
112143,244756.40769460003
112144,31947.46449720001
112145,30253.871390000015
112146,93345.062515
112147,298064.26053899986
112148,54715.76583400002
112149,80724.23826009998
112150,8018.994744686
112151,336224.24868900003
112152,93370.01640110003
112153,53728.84105039997
112154,29105.454141940005
112155,89728.51889097
112156,71754.20761069996
112157,101211.36877430003
112158,34266.65982230002
112159,280206.1090292
112160,49549.93472249998
112161,161699.07624260001
112162,69020.956019
112163,9593.869364795997
112164,24394.341927899983
112165,135419.41319140006
112166,67051.0010165
112167,39418.29124357998
112168,96912.21489719998
112169,276046.44072699995
112170,237837.06357719988
112171,44746.3426056
112172,20317.111104400003
112173,249528.87109919998
112174,255776.3040534001
112175,43807.832486800005
112176,35394.4859539
112177,93920.90504660006
112178,20436.234930099992
112179,34043.9705279
112180,66327.23210229998
112181,9254.544588042998
112182,278454.70973999996
112183,87699.54083620005
112184,25823.5694852
112185,282445.0386339999
112186,8499.994000513003
112187,127101.96467819995
112188,118951.06823500001
112189,46284.645272699985
112190,41628.59984689999
112191,90627.9489287
112192,210579.7544405999
112193,31303.091186400015
112194,153450.02178960002
112195,49356.8261471
112196,29441.795810300006
112197,233358.05512490007
112198,31342.459713500008
112199,42231.9569596
112200,59801.72810710003
112201,361282.8698105
112202,129325.92969689997
112203,35617.24461020001
112204,106724.1702621
112205,8788.508483559997
112206,111552.68153309995
112207,318617.63342800003
112208,61653.58057169998
112209,373060.51283400017
112210,52644.364603899994
112211,256482.560882
112212,53248.38409819999
112213,32265.268043359996
112214,189257.8173482999
112215,43921.3906734
112216,116395.93978950001
112217,39404.1001871
112218,71601.0180099
112219,383448.79199799994
112220,28949.54565015
112221,5429.518566342002
112222,30794.8782601
112223,254278.59145769992
112224,164352.25274859992
112225,15497.971547125997
112226,69067.29064769998
112227,59223.40233879999
112228,96222.5205416
112229,100416.06380620008
112230,199404.5226329999
112231,15561.036245559999
112232,234012.20387320008
112233,25031.70965094999
112234,52613.41720850002
112235,67286.58945803999
112236,96837.87042429998
112237,376133.621225
112238,39397.711838799994
112239,11461.001461699994
112240,13501.502354326
112241,21037.182381000006
112242,46098.06878450001
112243,57416.51927490001
112244,164133.6375752001
112245,96751.34112069997
112246,50916.87311759997
112247,499311.2964949999
112248,106826.12297980001
112249,13932.979834099993
112250,59573.81473439997
112251,53291.90126079999
112252,55683.10897749998
112253,67848.03761480005
112254,274201.41434400005
112255,38890.5996372
112256,40178.590920099996
112257,36036.59288270001
112258,437137.93198600004
112259,208887.8257293001
112260,117473.65396239994
112261,357523.21857199987
112262,92451.17710280004
112263,135589.5845743
112264,93509.9332376
112265,18558.95029881229
112266,39518.00115379999
112267,69284.02093390003
112268,55134.607075000014
112269,493523.806209
112270,26671.40052430001
112271,77619.90828359994
112272,74626.5108597
112273,146320.04184869994
112274,7345.247898243596
112275,187672.12925890007
112276,163335.27156780002
112277,69185.12043330002
112278,75278.73312479998
112279,25373.65081322
112280,132411.53136570007
112281,68092.62902100003
112282,186729.20324520004
112283,106959.22396179996
112284,74409.39541250003
112285,68281.60600689996
112286,44867.599548050996
112287,36289.7161601
112288,82033.53269110002
112289,369233.851259
112290,201393.49356220002
112291,38677.620196499985
112292,581869.8328159997
112293,50611.35937529999
112294,338115.36741699994
112295,42392.124368599994
112296,259765.64716599986
112297,74679.85204560003
112298,56680.49907559999
112299,82445.95248570002
112300,13129.321517589999
112301,34381.586802000005
112302,15716.537210451004
112303,38842.98182129999
112304,173969.0322263
112305,24222.3923836
112306,97791.80580260005
112307,41054.2813818
112308,110682.49215719996
112309,186581.49790399996
112310,34568.80707890002
112311,98535.61056880001
112312,38787.520416800005
112313,110465.89970369996
112314,21896.328767489988
112315,296170.28424660006
112316,43065.62184584002
112317,27301.61322469998
112318,28874.595730800003
112319,24384.994694299985
112320,793807.1134919999
112321,64246.3683593
112322,14702.028302519999
112323,127305.81571060006
112324,368456.5962660001
112325,216837.13027680005
112326,97207.25308210004
112327,253879.2568719999
112328,114337.95707282996
112329,212813.75170770008
112330,349793.66488399997
112331,346648.5663210001
112332,181611.32568749995
112333,338351.946777
112334,191405.76329199996
112335,65099.07595470001
112336,31986.634615199993
112337,241560.42991859996
112338,307336.13190400007
112339,253231.2951536999
112340,145757.2867474
112341,1438999.013767
112342,17359.256008849996
112343,41334.099440400016
112344,30429.862907799994
112345,31839.35350140001
112346,71025.88895129996
112347,21044.084296600005
112348,22694.5316241
112349,24158.27806000002
112350,91415.04200219996
112351,35499.286758099995
112352,46501.82077063
112353,1931.3995372450006
112354,128015.68723249999
112355,71295.4254783
112356,65505.2777254
112357,72851.42997770003
112358,91151.85516715994
112359,267509.1423787001
112360,22923.48433926
112361,149923.12580570002
112362,57012.67666160002
112363,54541.955743
112364,27727.88550820002
112365,9042.327116399998
112366,16843.16633207
112367,27527.90604891999
112368,49258.6286166
112369,294415.588975
112370,29300.7117727
112371,428529.1872081
112372,100054.92011260003
112373,68824.16132899998
112374,22426.922941150005
112375,27822.752036640006
112376,92723.14801170006
112377,115106.60964570001
112378,64427.79966691
112379,112713.95584879996
112380,79693.51558880003
112381,75027.2330509
112382,124080.20044590003
